note_id,href,keywords,description,og:type,og:title,og:xhs:note_comment,og:xhs:note_like,og:xhs:note_collect,date_info
659ddf9b000000001d035536,https://www.xiaohongshu.com/discovery/item/659ddf9b000000001d035536,"环保, 低碳, 消费主义, 绿色, 绿色环保, 气候变化, 减碳",什么是消费主义？ 消费主义是一种社会和经济理念，强调消费品和服务的购买和使用对于经济增长和个人幸福至关重要。这个概念通常与工业化国家和资本主义经济体联系在一起，其中消费者文化和消费水平成为衡量社会和个人成功的关键指标。 在消费主义文化中，个人身份和社会地位常常与拥有的物品和能力消费相关联。广告和媒体在推动消费主义方面扮演了重要角色，通过营造购买特定产品与达成某种生活方式之间的联系，来激励人们消费。 然而，消费主义也受到批评，批评者认为它导致资源的过度开采、环境破坏、社会不平等以及对物质拥有的过分重视，这可能会影响人们的幸福感和生活质量。此外，它还可能导致不可持续的经济模式和消费行为。 	 消费主义对绿色环保的影响： 1资源过度开采：消费主义导致自然资源被过度使用，对生态系统造成破坏。 2.环境污染：生产更多消费品带来的工业活动增加了空气和水污染，以及垃圾产生。 3.气候变化：消费主义促进了大量化石燃料使用，增加温室气体排放，推动全球气候变化。 4.生物多样性丧失：为满足市场需求，自然栖息地的改变导致生物多样性下降。 	 绿色送礼/购物的小TiPS： 1.选择环保产品：购买那些对环境影响较小的产品，比如有机、可再生或可回收的产品。 2.减少包装：选择包装简单的商品，或者使用可重复使用的包装材料，减少一次性包装的使用。 3.支持当地和小众品牌：购买本地生产的商品可以减少运输过程中的碳排放，同时支持小众品牌和手工艺品可以鼓励更多的可持续生产方式。 4赠送植物：植物既美观又有益环境，是理想的礼物选 择 5.鼓励自制礼物：自制的礼物，如手工艺品、烘焙食品等，不仅具有个人特色，也减少了商业化生产的环境影响。 	 #环保 #低碳 #消费主义 #绿色 #绿色环保 #气候变化 #减碳,article,消费主义♻️绿色环保,0,3,0,2024-01-10 美国
659e9aa2000000001e00b424,https://www.xiaohongshu.com/discovery/item/659e9aa2000000001e00b424,"国家自主贡献, 巴黎协定, 温室气体, 气候变化, 环保, 保护生态环境, 环保小知识, 科普",🗺🌫零碳喵本喵气候词典 05🌫️️🗺️ 	 #国家自主贡献 （NDCs） 是各国根据《#巴黎协定 》 “将全球升温控制在1.5℃ 以内”的目标 而必须制定的气候承诺和行动计划 NDCs代表中短期计划 每五年更新一次 对气候问题提出更高要求 	 国家自主贡献概述了一个国家 为减少#温室气体 排放 提高抗灾能力和适应#气候变化 而采取的减缓和适应措施 以及融资战略 监测和核查方法 	 全球还需要进行一系列“盘点” 评估各国NDCs和巴黎协定目标的实施进展情况 	 根据《巴黎协定》 各国必须定期报告其国家自主贡献的实施情况 这种报告必须具备透明度 使全球社会能够准确评估进展 建立信任 	 透明的报告使政府和国际机构能够 获得可靠数据并做出正确的决策 还会增进我们对气候变化的科学理解 促进减缓 适应气候变化 所需的行动和政策 	 此外 透明度是释放《巴黎协定》 全部潜力的关键所在 通过促进信任 合作和知识转移 进一步鼓励各国在制定气候目标上加大力度 	 #环保 #保护生态环境 #环保小知识 #科普,article,🟢COP 28提到的国家自主贡献你知道是什么吗,0,3,0,2024-01-10 上海
659f368700000000110153bc,https://www.xiaohongshu.com/discovery/item/659f368700000000110153bc,"寒冷天气, 气候变化, 家庭时光, 是live也是life, 新手奶爸带娃记, 混血宝宝, 格鲁吉亚, 加拿大生活, 奶爸带娃, 双胞胎日常, 人类幼崽日常",❄️🌡️ 这周，阿尔伯塔省开始迎来降温，标志着“暖冬”正式结束，一下子进入了“速冻”模式。政府网站发布了低温预警，同时公布了一些可以取暖的公共场所，提醒居民注意寒冷天气的安全。🌬️❗️ 通常，加拿大冬天的温度在摄氏零下10度到零下20度之间，但在极端寒冷的日子里，温度可能降至零下30度甚至更低。这样的寒冷天气需要居民采取额外的保暖措施，以确保身体的安全。🧤❄️ 气候变化带来的影响愈发明显，加拿大正经历着更加极端的天气现象。寒潮、暴雪等极端天气频发，对居民的生活和基础设施都提出了更高的挑战。这也引起了人们对气候变化的更深刻关注。🌍🔄 在这样的极端天气下，Sandro和Andro这周没有去daycare，而是选择在家里玩耍。在温暖的家庭氛围中，度过这样的冷冻日子，成为了一场特殊的家庭冒险。❤️👨‍👦‍👦❄️ #寒冷天气 #气候变化 #家庭时光 🏡🌨️ #是live也是life #新手奶爸带娃记 #混血宝宝 #格鲁吉亚 #加拿大生活 #奶爸带娃 #双胞胎日常 #人类幼崽日常,article,♊加拿大🇨🇦的日常生活之极寒天气,0,10+,0,2024-01-11 加拿大
659aa486000000001d015c31,https://www.xiaohongshu.com/discovery/item/659aa486000000001d015c31,"极端天气, 高温, 湖泊, 高温天气, 气候变化, 科研",The impact of extreme heat on lake warming in China  一句话说明：全球气温变暖，除了陆地还有水域，陆地研究是主要方向，水域变暖也需要得到重视。本文研究了极端高温对水面温度变化的影响。 #极端天气  #高温  #湖泊  #高温天气  #气候变化  #科研 	  研究背景：极端高温导致的湖面温度迅速增加可能会对水生生物造成灾难性后果，导致死亡和藻类大量繁殖，使湖泊从清澈变为浑浊；2022年夏季，近60年来最严重的极端高温之一席卷中国，导致LSWT较2000年至202117年期间显着升高1.63℃。这一极端事件引发了一系列灾难，包括水位下降、水面面积急剧减少、水生生物大量死亡、周边城市居民水电供应短缺17。 	  研究方法：在本研究中，我们采用基于物理/统计的混合模型，评估了极端高温对中国2260个湖泊从1985年到2022年的表面水温变化的影响贡献。  1. 湖泊水面温度混合模型  2. 识别极端高温并在极端高温消除前后对 LSWT 进行建模  3. 极端高温的贡献(蒸发和降水成为影响) 	  研究结果  1. 从1985年到2022年长达38年的调查过程中，中国平均经历了大约454天的极端高温，且正在以2.08天/十年的速度增加，强度约为0.03°C/day·decade的速度(极端高温天数增加和温度增加)。  2. 在排除极端高温后，湖泊表面水温的升温速率从0.16℃/十年下降到0.13℃/十年。  3. 极端高温对湖泊表面水温的长期变化有相当大的影响，占所研究湖泊表面水温变暖趋势的36.5%。 	  不足和建议  1. 气候模型在准确预测未来极端事件方面不足，可能低估未来极端高温的变化。  2. 采取措施保护和减轻湖泊生态系统遭受极端高温天气的影响。,article,NC | 极端高温对湖泊表面变暖的影响,0,10+,10+,2024-01-07 中国香港
6459efce0000000013010dc6,https://www.xiaohongshu.com/discovery/item/6459efce0000000013010dc6,"三江源, 气候变化, 联合国妇女署, 女性, 女性思考, 女性对谈",2023年4月，联合国妇女署项目官员王青走进三江源，就气候变化这个问题，和几个牧区的女性进行实地访谈。 	 问题一：你有感觉到气候变化吗，这对你的生活有什么影响？ 	 央措： 我已经记录了好几年的环境日记，我发现气温是在变高，物种也在变化。这对于我们的生活来说，造成了很大影响。比如天气变得更加干旱，导致草长得不好，牛羊没有草可以吃，我们不得不额外购买饲草喂它们，这就是一笔很大的开销。 	 每年的春天，我们都要去挖虫草，这是我们家庭收入里面很重要的一部分。而干旱对于虫草的生长不利，我们每年可以挖到的虫草减少很多，这样我们的收入就减少很多。一方面收入减少，一方面支出增加，气候变化直接地加重了我们家的经济负担。 	 索南卓尕 ： 	 有时候我们买的饲草质量不够好，牛羊吃了也会生病，甚至死掉。我们也不能收集制作奶制品、毛线等副产品，是双重的经济损失。 	 图文：联合国妇女署王青 	 #三江源 #气候变化 #联合国妇女署 #女性 #女性对谈 #女性思考,article,气候变化下与牧区女性的对谈（一）,10+,1k+,100+,2023-05-09
659d6ef1000000001e007215,https://www.xiaohongshu.com/discovery/item/659d6ef1000000001e007215,"地形图, 地理科普, 气候变化, 世界潜水地图, 环游世界, 我的旅行故事, 人文景点分享, 旅游攻略, 旅游, 旅游推荐",#地形图 #地理科普 #气候变化 #世界潜水地图 #环游世界 #我的旅行故事 #人文景点分享 #旅游攻略 #旅游 #旅游推荐,article,这张中国地形图你见过吗？太直观！,0,10+,6,2024-01-10 福建
659cb31f000000001200a334,https://www.xiaohongshu.com/discovery/item/659cb31f000000001200a334,"DPLAB, 联合国气候变化大会, cop28, 公正转型, 气候变化, 不懂就问有问必答",在刚闭幕的《联合国气候变化框架公约》 第二十八次缔约方大会（COP28）上 会议所形成的共识获得了广泛的关注 其中“公正转型”也成为了会议讨论的焦点 公正转型的指的是什么？为何它如此重要？ 今天DP LAB“科普专场”🌎就来跟大家聊一聊！ 	 ✳️公正转型 	 是指向低碳经济转变，在转变过程中尽可能减小摆脱化石燃料带来的社会和经济干扰，同时尽可能扩大对社会劳动者、社区各年龄段居民和消费者等群体的益处。 	 公正转型聚焦气候治理过程中的不平等性、资源分配不均、弱势群体的边缘化等问题，是各国积极解决历史遗留问题、推进全球适应目标共同达成的重要内容。 	 ✳️它主要包含以下内容： 	 1⃣️社会公正——气候变化对全球社会的影响是不均的，最脆弱和边缘化的群体容易受到更大影响。 	 2⃣️经济公正——在 COP28 形成的共识中，发达国家承诺为发展中国家提供更多的资金技术支持，以帮助其应对气候变化。 	 3⃣️代际公正——代际公正是公正转型中不可或缺的部分，它要求我们不仅要关注当代人的需求，还要考虑到后代的福祉和生存。 	 4⃣️环境公正——环境公正是公正转型中的一个重要概念，它涉及到确保所有人在环境问题上的公平对待和权益保障。 	 5⃣️推动全球合作——COP28 强调了全球共同合作应对气候变化的紧迫性，公正转型作为应对气候变化的核心策略。 	 #DPLAB 作为可持续发展的实践载体 始终以倡导环境可持续与文化可持续为使命 坚信只有通过全球合作和共同努力 才能促进公正转型在应对气候变化的行动中普及 可以更好地帮助全球实现气候目标 促进可持续理念在全球社会的发展 	 #DPLAB #联合国气候变化大会 #cop28 #公正转型 #气候变化 #不懂就问有问必答 @家居薯 @生活薯,article,COP28视角下的公正转型：你需知道的五件事,0,2,1,2024-01-09 广东
659b6b600000000011017bc3,https://www.xiaohongshu.com/discovery/item/659b6b600000000011017bc3,"气候变化, 生物多样性, 人工智能, 深度学习, DNA, 全球可再生能源",人工智能辅助动物声音景观（soundscape）可用于作为监测农地抛荒后森林生物多样性恢复的有效工具。这些发现指出一个可能的自动化、成本效益好而且可靠的方法，检测森林生物多样性和评估恢复结果。 	 大规模监测森林生物多样性对保育很重要，但需要成本效益好的标准化工具。此前研究已表明，生物声学（研究动物声音的学科）在用声景检测动物群落时是很有前景的工具。但其中还有很大的不确定性，如这些声景是否也能反映出非发声动物物种的状态。要结合传统声学测量和机器学习方法，也存在着技术困难。 	 德国维尔茨堡大学的Jörg Müller和同事测试了一种方法，用声景追踪热带森林生物多样性。在厄瓜多尔的Chocó地区低地，他们从最近抛荒的可可种植园和牧场到原始森林中，记录了环境中的动物声音。他们将专家对发声动物物种的鉴别与两类自动化方法相结合，其中一种使用深度学习模型。作者发现两种自动方法都能很好地反映森林环境范围。 	 作者还用一种不同类型的生态信息对他们基于声音的结果进行了评估，他们使用了DNA宏条形码获取的昆虫多样性数据，其中主要是非发声物种。虽然这两个数据库不能完全吻合，结果表明，结合生物声学和深度学习，有望监测森林生物多样性。 	 #气候变化  #生物多样性  #人工智能  #深度学习  #DNA  #全球可再生能源,article,用声景监测森林生物多样性恢复,0,2,1,2024-01-09 新加坡
634fab1500000000070365ff,https://www.xiaohongshu.com/discovery/item/634fab1500000000070365ff,"地铁, 地铁安全, 暴雨, 自救, 气候异常, 气候变化, 极端天气, 气候告急, 气候行动",极端暴雨天气，雨水有倒灌入地铁的风险。 作为在地铁车内的乘客，我们需要掌握什么技巧 来应对这样的气候灾害，并进行自救逃生呢？ 	 🌟水位低于脚踝时 这是最佳的逃生机会， 这时需要迅速在地铁车门附近找到紧急装置， 将它旋转到90度时，再用力扒门， 扒开门后， 再找到最近的站台逃生。 	 🌟水位超过膝盖，低于车窗时 这个时候就需要破窗逃生了， 如果地铁在隧道中间 想走出隧道是不可能的， 我们应该想办法去地铁车厢棚顶躲避。 首先用逃生锤进行破窗， 高个子的乘客可以一脚踩在车窗沿， 另一脚踩在隧道的墙壁上，形成一个人形支架， 乘客就可以一个个被扶上车顶。 	 🌟水位超过车窗时 此时情况已经十分危及！ 我们需要逆着水流奔涌的方向。 往车厢的头部或者尾部走， 再遵循第二条的技巧， 进行逃生。 	 气候危机正在影响我们的安全， 必要的自救知识不能少！ 	 #地铁 #地铁安全 #暴雨#自救 #气候异常 #气候变化#极端天气#气候告急#气候行动,article,暴雨倒灌地铁，地铁车内乘客如何自救逃生？,4,10+,10+,2022-10-19
650befac000000001f03a458,https://www.xiaohongshu.com/discovery/item/650befac000000001f03a458,"可持续设计, 地毯, 气候变化, 数据可视化, 设计",· ☁️ 设计毕业生Liselot Cobelens在荷兰设计周上展示了一块地毯，该地毯可视化了气候变化引发的干旱如何破坏当地景观的真实数据。 	 · 💧 旱地地毯记录了干旱的四个不同后果——脱水、农作物和动物的损失、土地沉降和野火——以及它们如何影响荷兰的一个特定地区。 Cobelens首先创建了一个机器簇绒地毯，类似于布拉班特Deurnese Peel地区的物理地图——该地区靠近设计师的成长地，受到欧盟Natura 2000计划的保护。 	 · 🍂 地毯由与草地景观相呼应的颜色组成，其图案反映了其河流和溪流以及人造运河和沟渠。 由于这些运河和沟渠的建造是为了让水更快地流向大海，并保持土地有利于耕种，科贝伦斯说，它们现在在干旱条件下加剧了脱水。 基于真实的水图，这种水路图案以循环桩簇绒呈现，在混合物中添加蓝色线，使其具有水色调。 	 · 🌲 地毯的主要部分由草堆成堆成，以几种深浅的绿色簇绒，以探索沉降问题。 每个部分都制造到不同的高度，较低的桩高度象征着地下的水量较少。 特别是在皮尔等泥炭沼泽地区，这会导致地面塌陷，同时造成颠簸的道路和下沉的房屋等问题。 为了探索干旱对植物的致命影响，Cobelens用电动羊剪切器切割了地毯的区域，形成了切碎的补丁。 	 · 🔥 她还用喷灯烧焦了地毯的部分，以反映2020年野火的进程，该野火花了两个月的时间才得到控制。 除了地毯，还有一张较小的挂毯和三个带簇绒座椅的凳子，象征着脱水不同阶段的风景，从健康和绿色到贫瘠和稀疏。 	 #可持续设计 #地毯 #气候变化 #数据可视化 #设计,article,可持续设计🌿 将气候变化可视化的地毯,0,100+,100+,2023-09-21
