,note_id,href,keywords,description,og:type,og:title,og:xhs:note_comment,og:xhs:note_like,og:xhs:note_collect,date_info,og:image,og:video,og:videotime,og:videoquality,text,predicted_label,prediction_confidence
0,6597de32000000001103344b,https://www.xiaohongshu.com/discovery/item/6597de32000000001103344b,"笔记灵感, 产品设计, 艺术, 交互设计, 来自星星的艺术家, 搞的就是艺术, 艺术留学作品集, 艺术灵感, 艺术设计, 艺术创作, 气味记忆, 设计, 气候变化, 未来食物, 食物, 濒临灭绝, 气候变化危机, 物种灭绝, 消失的美食, 不懂就问有问必答, 吃我一波Lolita安利, 我的环保习惯",#笔记灵感  #产品设计  #艺术  #交互设计  #来自星星的艺术家   #搞的就是艺术  #艺术留学作品集  #艺术灵感  #艺术设计  #艺术创作  #气味记忆  #设计  #气候变化  #未来食物  #食物  #濒临灭绝  #气候变化危机  #物种灭绝  #消失的美食  #不懂就问有问必答  #吃我一波Lolita安利  #来自星星的艺术家  #我的环保习惯  @小红书创作助手  @知识薯  @潮流薯   @VLOG薯  @艺术薯,video,如果食物开始濒临灭绝，气味记忆该如何找回,0,10+,7,2024-01-11 中国香港,http://sns-webpic-qc.xhscdn.com/202401172226/eb74fee23967dc761fd81d835cab17da/110/0/01e597dca21214540010000000018cd935e022_0.jpg!nd_dft_wlteh_jpg_3,https://sns-video-al.xhscdn.com/stream/110/259/01e597dca2121454010371038cd93c919c_259.mp4,00:22,高清,"如果食物开始濒临灭绝，气味记忆该如何找回, #笔记灵感  #产品设计  #艺术  #交互设计  #来自星星的艺术家   #搞的就是艺术  #艺术留学作品集  #艺术灵感  #艺术设计  #艺术创作  #气味记忆  #设计  #气候变化  #未来食物  #食物  #濒临灭绝  #气候变化危机  #物种灭绝  #消失的美食  #不懂就问有问必答  #吃我一波Lolita安利  #来自星星的艺术家  #我的环保习惯  @小红书创作助手  @知识薯  @潮流薯   @VLOG薯  @艺术薯, 笔记灵感, 产品设计, 艺术, 交互设计, 来自星星的艺术家, 搞的就是艺术, 艺术留学作品集, 艺术灵感, 艺术设计, 艺术创作, 气味记忆, 设计, 气候变化, 未来食物, 食物, 濒临灭绝, 气候变化危机, 物种灭绝, 消失的美食, 不懂就问有问必答, 吃我一波Lolita安利, 我的环保习惯",艺术设计与自然摄影,0.9996921
1,659f97ca000000001a02b6e6,https://www.xiaohongshu.com/discovery/item/659f97ca000000001a02b6e6,"世界环境日, 六五环境日, 环境保护, 气候变化, 地理科普",#世界环境日 #六五环境日 #环境保护 #气候变化 #地理科普,video,美国俄亥俄州有毒气体污染有多严重,0,5,0,2024-01-11 北京,http://sns-webpic-qc.xhscdn.com/202401172226/a7fe829cdf02609444ce1ececef78b76/1040g00830tphgo884u505pcsmq7oghveqkjn1o8!nd_dft_wlteh_jpg_3,https://sns-video-al.xhscdn.com/stream/110/259/01e59f978530928a010370038cf76969ad_259.mp4,00:14,高清,"美国俄亥俄州有毒气体污染有多严重, #世界环境日 #六五环境日 #环境保护 #气候变化 #地理科普, 世界环境日, 六五环境日, 环境保护, 气候变化, 地理科普",知识科普与科研动态,0.99934465
2,632a886b000000001801664e,https://www.xiaohongshu.com/discovery/item/632a886b000000001801664e,"气候行动本事不小, 生动源自行动, 野生救援WildAid, 气候变化, 双碳目标, 低碳",穿过层层交织的光影，气候变化的影响已不再遥远。 	 助力双碳目标，敬请期待野生救援公益大使吴磊完整版公益广告！ 	 #气候行动本事不小  #生动源自行动  #野生救援WildAid  #气候变化  #双碳目标  #低碳,video,【花絮抢先看】真的爱了,100+,1k+,100+,2022-09-21,http://sns-webpic-qc.xhscdn.com/202401172226/1596b1e352e903a2b7f19f7c1f114ba0/spectrum/03029l01kuwxuvt4qmx280p361r0ik13to!nd_dft_wgth_jpg_3,https://sns-video-al.xhscdn.com/spectrum/01e32a87957d410101837003835e261c56_259.mp4,00:55,高清,"【花絮抢先看】真的爱了, 穿过层层交织的光影，气候变化的影响已不再遥远。 	 助力双碳目标，敬请期待野生救援公益大使吴磊完整版公益广告！ 	 #气候行动本事不小  #生动源自行动  #野生救援WildAid  #气候变化  #双碳目标  #低碳, 气候行动本事不小, 生动源自行动, 野生救援WildAid, 气候变化, 双碳目标, 低碳",艺术设计与自然摄影,0.99931467
3,62fc29840000000012009184,https://www.xiaohongshu.com/discovery/item/62fc29840000000012009184,"环保, 碳中和, 气候变化, 户外探险","《中美零碳之路》的预告片终于来了！很多人都过问我：去年我为什么回了美国？2021年秋天我开了电动汽车（很酷）和坐过火车（很慢）从旧金山到波士顿横跨了整个美国，只为了探索美国的公司、国家公园、专家、学生、农民，和市民等如何想实现碳中和并如何正在跟中国合作解决气候变化。 探索与记录了几十个有趣的零碳故事，最后有了187分钟的内容从此要开始发出来！！希望大家会喜欢这次的预告片和一年的努力后的工作成果。感谢大家在过去的一年一直对我的信任和鼓励！ 	 P.S. 我的中文今年是不是真的退步了？很有可能 请良心多多指导！！！ 	 P.S.S. 我还是认为预告片里的 ”不同的语言、文化、和世界观，一个气候。无论经济、疫情、人情怎么样，我们还要同舟共济。“那句话是十分重要的！虽然携手解决气候变化一定谈何容易，但是我们无论如何千万必得一起站起来面对和解决它。希望世界越来越和平，咱们地球的环境越来越好。Ever forward, ever up! 一起保护我们唯一的地球！ 	 #环保 #碳中和 #气候变化 #户外探险",video,中美零碳之路,10+,1k+,100+,2022-08-17,http://sns-webpic-qc.xhscdn.com/202401172226/6e388db2d7e37db3d1b8d0a17e1d59b3/01028h01kv7wcj5sg67010g8ejp0a22ckt!nd_dft_wgth_jpg_3,https://sns-video-bd.xhscdn.com/pre_post/01e2fc29374fca150183700382a9051122_259.mp4,02:24,高清,"中美零碳之路, 《中美零碳之路》的预告片终于来了！很多人都过问我：去年我为什么回了美国？2021年秋天我开了电动汽车（很酷）和坐过火车（很慢）从旧金山到波士顿横跨了整个美国，只为了探索美国的公司、国家公园、专家、学生、农民，和市民等如何想实现碳中和并如何正在跟中国合作解决气候变化。 探索与记录了几十个有趣的零碳故事，最后有了187分钟的内容从此要开始发出来！！希望大家会喜欢这次的预告片和一年的努力后的工作成果。感谢大家在过去的一年一直对我的信任和鼓励！ 	 P.S. 我的中文今年是不是真的退步了？很有可能 请良心多多指导！！！ 	 P.S.S. 我还是认为预告片里的 ”不同的语言、文化、和世界观，一个气候。无论经济、疫情、人情怎么样，我们还要同舟共济。“那句话是十分重要的！虽然携手解决气候变化一定谈何容易，但是我们无论如何千万必得一起站起来面对和解决它。希望世界越来越和平，咱们地球的环境越来越好。Ever forward, ever up! 一起保护我们唯一的地球！ 	 #环保 #碳中和 #气候变化 #户外探险, 环保, 碳中和, 气候变化, 户外探险",艺术设计与自然摄影,0.9985415
4,65512b28000000003202ec23,https://www.xiaohongshu.com/discovery/item/65512b28000000003202ec23,"阿姆斯特丹, 荷兰生活, 荷兰旅行, 气候变化, 保护环境","11月12号在阿姆斯特丹city walk, 意外遇上人数超过85000的气候游行大队伍，呼吁的主题是减少碳排放，保护地球环境，遏制全球变暖 	 荷兰本身就是全球海拔最低的国家，三分之一的国土在海平面以下。全球海平面每年持续上升，都是对这个低洼国家的沉重打击。 荷兰随处可见的自行车🚲，被称为自行车王国，也是跟荷兰人与生俱来的环保意识密不可分的。 	 不止处于低海拔地区的人们要有这种意识，作为地球上的一份子的每一个人何尝不是需要一颗爱我们土地家园的心呢 	 这次游行意在呼吁唤醒公众环保意识，本热爱地球的小分子看得热泪盈眶。游行队伍中的人都很友善，对视时会给你一个大大的微笑，他们也希望能感染到更多的人加入 	 #阿姆斯特丹 #荷兰生活 #荷兰旅行 	 #气候变化 #保护环境",video,游行从来都是看看而已，这一次dna真的动了,100+,1k+,100+,2023-11-13,http://sns-webpic-qc.xhscdn.com/202401172226/44541fb9b870bd30ea7a5093899c5beb/1040g00830rcuob2qhc0044ko5m8tf3nj8edbm2o!nd_dft_wlteh_jpg_3,https://sns-video-hw.xhscdn.net/stream/110/259/01e5512a05af6712010370038bc512870d_259.mp4,00:48,高清,"游行从来都是看看而已，这一次dna真的动了, 11月12号在阿姆斯特丹city walk, 意外遇上人数超过85000的气候游行大队伍，呼吁的主题是减少碳排放，保护地球环境，遏制全球变暖 	 荷兰本身就是全球海拔最低的国家，三分之一的国土在海平面以下。全球海平面每年持续上升，都是对这个低洼国家的沉重打击。 荷兰随处可见的自行车🚲，被称为自行车王国，也是跟荷兰人与生俱来的环保意识密不可分的。 	 不止处于低海拔地区的人们要有这种意识，作为地球上的一份子的每一个人何尝不是需要一颗爱我们土地家园的心呢 	 这次游行意在呼吁唤醒公众环保意识，本热爱地球的小分子看得热泪盈眶。游行队伍中的人都很友善，对视时会给你一个大大的微笑，他们也希望能感染到更多的人加入 	 #阿姆斯特丹 #荷兰生活 #荷兰旅行 	 #气候变化 #保护环境, 阿姆斯特丹, 荷兰生活, 荷兰旅行, 气候变化, 保护环境",生活方式与生活分享,0.9996973
5,63bd6f640000000022035858,https://www.xiaohongshu.com/discovery/item/63bd6f640000000022035858,"国家地理, 华夏地理, NationalGeographic, 气候变化, 暴雪, 环境, 哈萨克斯坦, 自然, 野生动物",气候变化对野生动物伤害多大？在被极端暴雪天气袭击的哈萨克斯坦，一只狍子的头部被冰雪冻住，失去视力，移动困难。当地居民施以援手后，它才重获自由。视频来源自TikTok: valeriedreams。 #国家地理  #华夏地理  #NationalGeographic  #气候变化  #暴雪  #环境  #哈萨克斯坦  #自然  #野生动物,video,极端冰雪！狍子险些丧命,100+,1w+,100+,2023-01-10,http://sns-webpic-qc.xhscdn.com/202401172226/f3e1702facfce30b8edf91d2071a2eaf/spectrum/1000g0k01safl1baeu00046q3runq9iap11kv3l0!nd_dft_wlteh_jpg_3,https://sns-video-al.xhscdn.com/stream/110/259/01e3bd5b944362cd01037003859bfb8ad1_259.mp4,00:20,高清,"极端冰雪！狍子险些丧命, 气候变化对野生动物伤害多大？在被极端暴雪天气袭击的哈萨克斯坦，一只狍子的头部被冰雪冻住，失去视力，移动困难。当地居民施以援手后，它才重获自由。视频来源自TikTok: valeriedreams。 #国家地理  #华夏地理  #NationalGeographic  #气候变化  #暴雪  #环境  #哈萨克斯坦  #自然  #野生动物, 国家地理, 华夏地理, NationalGeographic, 气候变化, 暴雪, 环境, 哈萨克斯坦, 自然, 野生动物",知识科普与科研动态,0.9997292
6,63108926000000001103e4e7,https://www.xiaohongshu.com/discovery/item/63108926000000001103e4e7,"国家地理, 环境, 气候变化, 全球变暖, 环境保护",是什么导致了气候变化？气候变化的影响是什么？通过视频，了解气候变化对环境和我们生活的影响和后果。 #国家地理 #气候变化 #全球变暖 #环境 #环境保护,video,看完就懂的知识：气候变化的原因和影响,2,100+,100+,2022-09-01,http://sns-webpic-qc.xhscdn.com/202401172226/8588e3bf8e89bcb3de3ecfbe1933d310/010291015ikxq67x8pl0113ko7id0wa5tf!nd_dft_wgth_jpg_3,https://sns-video-bd.xhscdn.com/pre_post/01e31089257c4d2c0183700382f89b8075_259.mp4,02:53,高清,"看完就懂的知识：气候变化的原因和影响, 是什么导致了气候变化？气候变化的影响是什么？通过视频，了解气候变化对环境和我们生活的影响和后果。 #国家地理 #气候变化 #全球变暖 #环境 #环境保护, 国家地理, 环境, 气候变化, 全球变暖, 环境保护",知识科普与科研动态,0.99956685
7,63f72bdc0000000013014b9a,https://www.xiaohongshu.com/discovery/item/63f72bdc0000000013014b9a,"气候, 气候变化, 历史, 地理",国运与“老天爷”之间，的确有一道牢固的联系，这就是气候。那么，气候变化与朝代更替到底有多大的关系呢？ #气候  #气候变化  #历史  #地理  @薯条小助手  @小红书视频号 ,video,【气候】竟然会影响【国运】？！,10+,1k+,100+,2023-02-23,http://sns-webpic-qc.xhscdn.com/202401172227/18010c36b2a18d97b2ba863ca9099fb4/spectrum/1000g0k023c61pmafo0005nueqdu0835ueqdb7e0!nd_dft_wlteh_jpg_3,https://sns-video-al.xhscdn.com/stream/110/259/01e3f71e0523d57e01037303867d888706_259.mp4,07:44,高清,"【气候】竟然会影响【国运】？！, 国运与“老天爷”之间，的确有一道牢固的联系，这就是气候。那么，气候变化与朝代更替到底有多大的关系呢？ #气候  #气候变化  #历史  #地理  @薯条小助手  @小红书视频号 , 气候, 气候变化, 历史, 地理",知识科普与科研动态,0.6857681
8,659e2de000000000110314cc,https://www.xiaohongshu.com/discovery/item/659e2de000000000110314cc,"大自然, 奇妙的动物, 地球, 给你们科普一下, 小知识, 自然科普, 气候变化, 辐射, 户外, 科普",#大自然 #奇妙的动物 #地球 #给你们科普一下 #小知识 #自然科普 #气候变化 #辐射 #户外 #科普,video,探索地球之肺的奥秘,0,4,2,2024-01-10 陕西,http://sns-webpic-qc.xhscdn.com/202401172227/93df7413a321073d981cc6b4a2cda9c2/1040g00830to5b14dkm5g5p6jq08n56c03revbb8!nd_dft_wlteh_jpg_3,https://sns-video-al.xhscdn.com/stream/110/259/01e59e2da4342690010373038cf1e3ea6d_259.mp4,01:18,高清,"探索地球之肺的奥秘, #大自然 #奇妙的动物 #地球 #给你们科普一下 #小知识 #自然科普 #气候变化 #辐射 #户外 #科普, 大自然, 奇妙的动物, 地球, 给你们科普一下, 小知识, 自然科普, 气候变化, 辐射, 户外, 科普",知识科普与科研动态,0.99925023
9,644137df000000000800d817,https://www.xiaohongshu.com/discovery/item/644137df000000000800d817,"灵感, 数据新闻, 数据可视化, 信息设计, 每日分享, 每日学习, 可视化, 论文, 绘图, 科研, 爱好者, 温度, 气候变化, 全球变暖, 北极, 南极, 记录我的城市",作者是Mark SubbaRao。作品呈现了1880-2022年间的地球纬向温度异常（以1951-1980年为基准期）。可以看到，北极变暖的速度比其他地区快得多。 这个视角的可视化很少见，挺有趣的。 温度数据基于GISS表面温度分析(GISTEMP v4)，是对全球表面温度变化的估计。纬度带为90N-64N、64N-44N、44N-24N、24N-EQU、eque - 24s、24S-44S、44S-64S、64S-90S。 GISS（戈达德空间研究所)是美国宇航局的一个实验室，由位于马里兰州格林贝尔特的戈达德太空飞行中心的地球科学部管理。该实验室隶属于哥伦比亚大学地球研究所和纽约工程与应用科学学院。 	 本账号仅做分享，版权归属创作者所有 #灵感#数据新闻#数据可视化#信息设计#每日分享#每日学习#可视化#论文#绘图#科研#爱好者#温度#气候变化#全球变暖#北极#南极 #记录我的城市,video,作品| 原来还可以这样可视化全球变暖,3,100+,100+,2023-04-20,http://sns-webpic-qc.xhscdn.com/202401172227/45e97a3ba8a8a701f521865cca6e0e92/1000g0082cdh8c3ags0004basd8u1fvqfqujv778!nd_dft_wgth_jpg_3,https://sns-video-al.xhscdn.com/stream/110/259/01e441379379299b01037003879ec2752e_259.mp4,00:32,高清,"作品| 原来还可以这样可视化全球变暖, 作者是Mark SubbaRao。作品呈现了1880-2022年间的地球纬向温度异常（以1951-1980年为基准期）。可以看到，北极变暖的速度比其他地区快得多。 这个视角的可视化很少见，挺有趣的。 温度数据基于GISS表面温度分析(GISTEMP v4)，是对全球表面温度变化的估计。纬度带为90N-64N、64N-44N、44N-24N、24N-EQU、eque - 24s、24S-44S、44S-64S、64S-90S。 GISS（戈达德空间研究所)是美国宇航局的一个实验室，由位于马里兰州格林贝尔特的戈达德太空飞行中心的地球科学部管理。该实验室隶属于哥伦比亚大学地球研究所和纽约工程与应用科学学院。 	 本账号仅做分享，版权归属创作者所有 #灵感#数据新闻#数据可视化#信息设计#每日分享#每日学习#可视化#论文#绘图#科研#爱好者#温度#气候变化#全球变暖#北极#南极 #记录我的城市, 灵感, 数据新闻, 数据可视化, 信息设计, 每日分享, 每日学习, 可视化, 论文, 绘图, 科研, 爱好者, 温度, 气候变化, 全球变暖, 北极, 南极, 记录我的城市",艺术设计与自然摄影,0.9996749
